"";"expression_mean"
"S100A7";"11.8"
"SPRR2G";"11.5"
"LCE3D";"11.5"
"SERPINB4";"11.3"
"SERPINB3";"11.3"
"KRT16";"10.3"
"S100A9";"10.1"
"S100A8";"10.0"
"TNC";" 9.9"
"SRGN";" 9.9"
"SPRR1A";" 9.8"
"LCE3E";" 9.5"
"TGM1";" 9.5"
"CTSC";" 9.5"
"AQP3";" 9.5"
"PLTP";" 9.5"
"CCL2";" 9.4"
"ALOX12B";" 9.4"
"IFI16";" 9.4"
"PLBD1";" 9.4"
"LAPTM5";" 9.4"
"GJB6";" 9.3"
"IFI6";" 9.3"
"SLC7A5";" 9.3"
"MPEG1";" 9.3"
"PPP4R1";" 9.2"
"COL6A3";" 9.2"
"THBS1";" 9.2"
"CDH3";" 9.2"
"SRM";" 9.1"
"PI3";" 9.1"
"ST14";" 9.1"
"AMD1";" 9.1"
"ATP6V1C2";" 9.1"
"PMEL";" 9.1"
"CYP4F22";" 9.1"
"ARHGDIA";" 9.1"
"CALU";" 9.1"
"PRRG4";" 9.1"
"BMP2K";" 9.1"
"PLA2G4E";" 9.1"
"CDC42SE1";" 9.0"
"EFTUD2";" 9.0"
"KPNA2";" 9.0"
"ME1";" 9.0"
"PTGFRN";" 9.0"
"GSDMC";" 9.0"
"C10orf99";" 9.0"
"CA2";" 9.0"
"B2M";" 9.0"
"PTGES";" 9.0"
"SERPINB13";" 9.0"
"LGMN";" 9.0"
"RHOD";" 9.0"
"ARPC1B";" 9.0"
"SEPN1";" 9.0"
"IARS";" 9.0"
"PSMD1";" 9.0"
"NUFIP2";" 9.0"
"MINK1";" 8.9"
"MTCH2";" 8.9"
"NIPAL4";" 8.9"
"LTBR";" 8.9"
"ARG1";" 8.9"
"YES1";" 8.9"
"MLX";" 8.9"
"CDV3";" 8.9"
"ZCCHC6";" 8.9"
"FARSB";" 8.9"
"DDOST";" 8.9"
"LAD1";" 8.9"
"EMB";" 8.9"
"STAT1";" 8.9"
"METTL9";" 8.9"
"RPN2";" 8.9"
"HAL";" 8.9"
"IMPA2";" 8.9"
"SIRPA";" 8.9"
"MOB3A";" 8.9"
"SAMHD1";" 8.9"
"SRPR";" 8.9"
"CD74";" 8.9"
"LCP1";" 8.9"
"CDH13";" 8.9"
"HIST2H2AB";" 8.9"
"NFKBIA";" 8.9"
"KCTD5";" 8.9"
"FURIN";" 8.9"
"MNF1";" 8.9"
"SOX7";" 8.9"
"TIMM23";" 8.9"
"C6orf62";" 8.9"
"ASAP1";" 8.9"
"MTDH";" 8.9"
"DLG5";" 8.9"
"MAPRE1";" 8.9"
"SLC25A39";" 8.9"
"PGLYRP3";" 8.9"
"TRAM2";" 8.9"
"MDM2";" 8.8"
"POLR2E";" 8.8"
"STEAP4";" 8.8"
"S100A16";" 8.8"
"PSMC2";" 8.8"
"ACLY";" 8.8"
"IPMK";" 8.8"
"RPS6KA3";" 8.8"
"RPF1";" 8.8"
"PSMB3";" 8.8"
"EHD2";" 8.8"
"LMNA";" 8.8"
"CRISPLD2";" 8.8"
"QSOX1";" 8.8"
"MRPL37";" 8.8"
"SLC30A1";" 8.8"
"LYZ";" 8.8"
"VAPA";" 8.8"
"LRP10";" 8.8"
