"";"V1"
"XIST";"11.4"
"KRT25";"8.7"
"KRTAP4-12";"8.5"
"KRTAP4-8";"8.4"
"KRT71";"6.8"
"DGAT2L6";"6.8"
"KRTAP1-5";"6.6"
"PM20D1";"6.6"
"AADACL3";"6.5"
"KRTAP4-5";"6.1"
"THRSP";"6"
"TCHH";"5.8"
"AWAT2";"5.7"
"FABP9";"5.4"
"UTY";"5.3"
"KRTAP1-1";"5.3"
"KRTAP5-2";"4.9"
"KRTAP2-2";"4.8"
"SEC14L6";"4.8"
"KRTAP4-2";"4.6"
"KRTAP9-4";"4.6"
"KRT86";"4.5"
"KRTAP5-8";"4.4"
"KRTAP9-8";"4.4"
"KRTAP2-4";"4.3"
"KRTAP16-1";"4.1"
"GAL";"4"
"ACOT1";"4"
"KRTAP11-1";"4"
"RPS4Y1";"3.9"
"KRT27";"3.9"
"AWAT1";"3.9"
"KRTAP4-7";"3.9"
"KRTAP4-4";"3.8"
"KRTAP4-3";"3.8"
"TTTY15";"3.7"
"KRTAP5-3";"3.6"
"KRTAP5-4";"3.6"
"HLA-DRB5";"3.5"
"KRTAP1-3";"3.4"
"PIP";"3.4"
"PRG4";"3.3"
"KDM5D";"3.2"
"USP9Y";"3.1"
"ALOX15B";"3"
"MIR2117";"2.9"
"RP11-789C1.1";"2.9"
"SPRR4";"2.9"
"KRT79";"2.9"
"PNLDC1";"2.7"
"SLCO4C1";"2.6"
"ADIPOQ";"2.5"
"PRKY";"2.4"
"FAR2";"2.3"
"SCGB1D2";"2.2"
"GLDC";"2.2"
"UPK1A";"2.1"
"GSTT2";"1.9"
"RP11-26L20.3";"1.9"
"SLC44A5";"1.8"
"TMPRSS11E";"1.7"
"FA2H";"1.6"
"CXCL9";"1.6"
"LGALS7";"1.6"
"HORMAD1";"1.5"
"IGLC2";"1.4"
"CXCL10";"1.4"
"IGHJ3";"1.3"
"IGHG4";"1.2"
"IGHG2";"1.1"
"HEPHL1";"1.1"
"IGHV3-33";"1.1"
"PI3";"1.1"
"IGKV2D-24";"1"
"IGHJ6";"1"
"KRT6A";"0.9"
"DEFB4A";"0.9"
"SPRR2B";"0.8"
"IGLC7";"0.8"
"LTF";"0.8"
"IGHV3-15";"0.7"
"IGHV3-30";"0.7"
"IGKV1-17";"0.6"
"KRT6C";"0.5"
"RNU5A-8P";"0.5"
"TCN1";"0.4"
"COMP";"0.4"
"S100A12";"0.4"
"S100A7A";"0.4"
"IGKV1-6";"0.4"
"MMP12";"0.2"
"OLFM4";"0.2"
"IL36A";"0.2"
"IGLV1-40";"0.2"
"IGFL1";"0.2"
"MMP1";"0.2"
"EPGN";"0.2"
"LCE3A";"0.2"
"MMP3";"0.1"
